# Export CSV started at 23/07/2024 10:30
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "1"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
9.6;13.1709;3.54279e+06;0.0315605;0.0315605;0.0315605;12.0031;1118.83;1.6572e+06;
9.7;13.1709;3.55353e+06;0.00779934;0.00779934;0.00779934;10.8843;1120.61;1.67046e+06;
9.8;13.1709;3.56367e+06;-0.0227052;-0.0227052;-0.0227052;11.0339;1123.97;1.67818e+06;
9.9;13.1709;3.57362e+06;-0.0791546;-0.0791546;-0.0791546;11.6563;1127.93;1.68547e+06;
10;13.2797;3.58423e+06;-0.225567;-0.225567;-0.225567;12.3855;1132.25;1.69758e+06;
10.1;13.2797;3.59572e+06;-0.203374;-0.203374;-0.203374;11.2021;1134.17;1.70779e+06;
10.2;13.2797;3.60657e+06;-0.172393;-0.172393;-0.172393;11.5738;1138.07;1.71999e+06;
10.3;13.2797;3.61702e+06;-0.163013;-0.163013;-0.163013;11.7512;1141.56;1.72817e+06;
10.4;13.2797;3.62796e+06;-0.182739;-0.182739;-0.182739;12.4316;1145.92;1.74073e+06;
10.5;13.2797;3.63891e+06;-0.0575919;-0.0575919;-0.0575919;11.2667;1147.7;1.75032e+06;
10.6;13.2797;3.64909e+06;0.0109085;0.0109085;0.0109085;11.9642;1151.84;1.7586e+06;
10.7;13.2797;3.65896e+06;-0.0830077;-0.0830077;-0.0830077;12.7563;1156.02;1.76976e+06;
10.8;13.2797;3.66937e+06;-0.152459;-0.152459;-0.152459;12.2322;1158.52;1.77822e+06;
10.9;13.2797;3.68005e+06;-0.0743616;-0.0743616;-0.0743616;12.0444;1161.58;1.79063e+06;
11;13.7263;3.68983e+06;0.116729;0.116729;0.116729;12.4427;1165.18;1.8001e+06;
11.1;13.7263;3.70179e+06;0.185601;0.185601;0.185601;13.2105;1169.97;1.81109e+06;
11.2;13.7263;3.71404e+06;0.243709;0.243709;0.243709;12.1917;1172.36;1.82429e+06;
11.3;13.7263;3.72641e+06;0.2995;0.2995;0.2995;12.5403;1176.69;1.83429e+06;
11.4;13.7263;3.73817e+06;0.175088;0.175088;0.175088;12.6668;1180.53;1.84492e+06;
11.5;13.7263;3.74991e+06;-0.0316926;-0.0316926;-0.0316926;12.4665;1183.9;1.85817e+06;
11.6;13.7263;3.76227e+06;-0.0736336;-0.0736336;-0.0736336;13.1939;1188.76;1.87152e+06;
11.7;13.7263;3.77478e+06;0.0154217;0.0154217;0.0154217;12.7376;1192.01;1.88262e+06;
11.8;13.7263;3.78657e+06;0.0385738;0.0385738;0.0385738;12.3204;1195.1;1.89397e+06;
11.9;13.7263;3.79801e+06;-0.00395357;-0.00395357;-0.00395357;12.3622;1198.71;1.9054e+06;
12;12.8778;3.80973e+06;0.0752485;0.0752485;0.0752485;12.0779;1201.97;1.91794e+06;
12.1;12.8778;3.81663e+06;0.0414879;0.0414879;0.0414879;12.7152;1205.01;1.92459e+06;
12.2;12.8778;3.82316e+06;-0.0222999;-0.0222999;-0.0222999;12.9528;1207.37;1.93412e+06;
12.3;12.8778;3.82921e+06;0.0130874;0.0130874;0.0130874;12.3696;1208.44;1.93932e+06;
12.4;12.8778;3.83564e+06;0.0235347;0.0235347;0.0235347;12.7912;1211.03;1.94524e+06;
12.5;12.8778;3.84254e+06;-0.058439;-0.058439;-0.058439;13.9016;1214.73;1.95304e+06;
12.6;12.8778;3.84894e+06;-0.0773701;-0.0773701;-0.0773701;12.7802;1215.15;1.95725e+06;
12.7;12.8778;3.85496e+06;-0.0409735;-0.0409735;-0.0409735;13.0475;1217.4;1.96586e+06;
12.8;12.8778;3.86117e+06;0.0955468;0.0955468;0.0955468;13.7113;1220.26;1.97128e+06;
12.9;12.8778;3.86769e+06;0.0534068;0.0534068;0.0534068;13.1431;1221.49;1.97938e+06;
13;11.7378;3.87376e+06;0.0562441;0.0562441;0.0562441;13.345;1223.67;1.9847e+06;
13.1;11.7378;3.87365e+06;0.0785436;0.0785436;0.0785436;12.312;1222.19;1.9845e+06;
13.2;11.7378;3.874e+06;-0.0753725;-0.0753725;-0.0753725;12.2151;1222.16;1.98501e+06;
13.3;11.7378;3.87502e+06;-0.19539;-0.19539;-0.19539;13.06;1223.67;1.98849e+06;
13.4;11.7378;3.87564e+06;-0.0483105;-0.0483105;-0.0483105;12.8148;1223.52;1.98727e+06;
13.5;11.7378;3.87562e+06;0.0904125;0.0904125;0.0904125;12.6151;1223.23;1.99126e+06;
13.6;11.7378;3.87572e+06;0.170639;0.170639;0.170639;12.5546;1223.17;1.98935e+06;
13.7;11.7378;3.87635e+06;0.117864;0.117864;0.117864;12.8707;1223.81;1.9863e+06;
13.8;11.7378;3.87678e+06;-0.00781341;-0.00781341;-0.00781341;13.4371;1224.74;1.98661e+06;
13.9;11.7378;3.87683e+06;-0.108436;-0.108436;-0.108436;11.6208;1222.21;1.98829e+06;
14;14.3456;3.87739e+06;-0.229518;-0.229518;-0.229518;12.9266;1224.19;1.99015e+06;
14.1;14.3456;3.89321e+06;-0.044424;-0.044424;-0.044424;13.4084;1229.78;2.0023e+06;
14.2;14.3456;3.90835e+06;0.0702134;0.0702134;0.0702134;13.6199;1234.79;2.01906e+06;
14.3;14.3456;3.92256e+06;0.155426;0.155426;0.155426;12.9339;1238.25;2.03317e+06;
14.4;14.3456;3.93669e+06;0.202408;0.202408;0.202408;13.2766;1243.13;2.04957e+06;
14.5;14.3456;3.9512e+06;0.186344;0.186344;0.186344;12.6827;1246.81;2.06216e+06;
14.6;14.3456;3.96574e+06;0.000710988;0.000710988;0.000710988;12.6995;1251.36;2.07926e+06;
14.7;14.3456;3.97969e+06;0.0547654;0.0547654;0.0547654;12.9737;1256.08;2.09221e+06;
14.8;14.3456;3.99354e+06;0.0373064;0.0373064;0.0373064;13.8458;1261.6;2.10627e+06;
14.9;14.3456;4.00794e+06;-0.00831269;-0.00831269;-0.00831269;13.2006;1265.18;2.11992e+06;
15;13.498;4.02227e+06;-0.0662466;-0.0662466;-0.0662466;13.3404;1269.85;2.13579e+06;
15.1;13.498;4.0307e+06;-0.0628236;-0.0628236;-0.0628236;13.5028;1272.69;2.14779e+06;
15.2;13.498;4.03895e+06;0.0215622;0.0215622;0.0215622;13.4119;1275.13;2.15779e+06;
15.3;13.498;4.04761e+06;0.127703;0.127703;0.127703;13.8554;1278.45;2.16619e+06;
15.4;13.498;4.05616e+06;0.0557731;0.0557731;0.0557731;13.0458;1279.98;2.17279e+06;
15.5;13.498;4.06427e+06;-0.0883412;-0.0883412;-0.0883412;13.685;1283.39;2.18198e+06;
15.6;13.498;4.0724e+06;-0.00824997;-0.00824997;-0.00824997;13.1154;1285.12;2.19409e+06;
15.7;13.498;4.08085e+06;0.0439168;0.0439168;0.0439168;13.1577;1287.81;2.20104e+06;
15.8;13.498;4.08941e+06;-0.0693947;-0.0693947;-0.0693947;14.1168;1291.82;2.21076e+06;
15.9;13.498;4.09741e+06;-0.0473027;-0.0473027;-0.0473027;13.2526;1293.09;2.22056e+06;
16;13.498;4.10513e+06;0.0123263;0.0123263;0.0123263;13.1274;1295.32;2.22825e+06;
16.1;13.007;4.1107e+06;-0.0470361;-0.0470361;-0.0470361;13.3342;1297.35;2.23299e+06;
16.2;13.007;4.11647e+06;-0.0935559;-0.0935559;-0.0935559;13.7479;1299.72;2.24179e+06;
16.3;13.007;4.12151e+06;0.0571511;0.0571511;0.0571511;13.8852;1301.48;2.24633e+06;
16.4;13.007;4.12625e+06;0.0233696;0.0233696;0.0233696;14.0038;1303.12;2.25182e+06;
16.5;13.007;4.13162e+06;-0.00720359;-0.00720359;-0.00720359;13.4966;1304.08;2.25446e+06;
16.6;13.007;4.13729e+06;-0.1309;-0.1309;-0.1309;13.5547;1305.93;2.26178e+06;
16.7;13.007;4.1424e+06;-0.104949;-0.104949;-0.104949;13.9475;1308.07;2.26894e+06;
16.8;13.007;4.14718e+06;-0.0116702;-0.0116702;-0.0116702;13.6605;1309.15;2.27632e+06;
16.9;13.007;4.15235e+06;0.112527;0.112527;0.112527;12.441;1309.05;2.28205e+06;
17;14.6793;4.15767e+06;0.0679356;0.0679356;0.0679356;13.6928;1312.44;2.28515e+06;
17.1;14.6793;4.17229e+06;-0.015947;-0.015947;-0.015947;13.5608;1316.81;2.29754e+06;
17.2;14.6793;4.18689e+06;-0.151919;-0.151919;-0.151919;14.222;1322.27;2.31693e+06;
17.3;14.6793;4.20204e+06;-0.0856669;-0.0856669;-0.0856669;14.0084;1326.69;2.33296e+06;
17.4;14.6793;4.21705e+06;-0.00346189;-0.00346189;-0.00346189;14.0228;1331.38;2.34766e+06;
17.5;14.6793;4.23132e+06;-0.0755532;-0.0755532;-0.0755532;14.1291;1335.96;2.36393e+06;
