# Export CSV started at 23/07/2024 10:32
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "6"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
18.1;6.59919;432386;-0.0307305;-0.0307305;-0.0307305;2.10939;148.051;28605.9;
18.2;6.59919;465210;-0.0248969;-0.0248969;-0.0248969;1.51982;151.036;29990.3;
18.3;6.59919;489742;0.0254528;0.0254528;0.0254528;1.23217;154.049;31226.3;
18.4;6.59919;499847;0.0746239;0.0746239;0.0746239;1.27899;157.257;32927.9;
18.5;6.59919;509230;0.0326827;0.0326827;0.0326827;1.99632;161.179;33980.3;
18.6;6.59919;518464;-0.0122515;-0.0122515;-0.0122515;1.57077;163.456;35273.1;
18.7;6.59919;527420;0.0211071;0.0211071;0.0211071;1.4627;166.091;36448.2;
18.8;6.59919;535853;0.0270879;0.0270879;0.0270879;1.80581;169.195;37778.2;
18.9;6.59919;543683;0.124072;0.124072;0.124072;1.57941;171.313;38813.9;
19;6.68257;551117;0.117662;0.117662;0.117662;2.22619;174.529;40055.7;
19.1;6.68257;559289;0.0785571;0.0785571;0.0785571;2.08581;176.875;41114.2;
19.2;6.68257;567264;0.0563171;0.0563171;0.0563171;1.50572;178.545;42281.1;
19.3;6.68257;574782;0.0193308;0.0193308;0.0193308;2.27867;181.965;43611.3;
19.4;6.68257;581950;-0.0104275;-0.0104275;-0.0104275;2.46558;184.455;44834.8;
19.5;6.68257;588877;0.0870446;0.0870446;0.0870446;2.1366;186.15;45599.5;
19.6;6.68257;595748;-0.0165112;-0.0165112;-0.0165112;1.99311;188.087;46750.1;
19.7;6.68257;602348;0.101526;0.101526;0.101526;2.15994;190.374;48073.6;
19.8;6.68257;608272;0.228762;0.228762;0.228762;1.89899;191.851;48729;
19.9;6.68257;614051;0.0913384;0.0913384;0.0913384;2.83868;194.963;49991.7;
20;4.95931;619804;0.0887837;0.0887837;0.0887837;2.31992;196.044;50425.1;
20.1;4.95931;613547;-0.0431131;-0.0431131;-0.0431131;1.68604;193.211;49771.5;
20.2;4.95931;607267;-0.191119;-0.191119;-0.191119;2.09246;191.826;48970.1;
20.3;4.95931;600959;-0.105852;-0.105852;-0.105852;1.55131;189.106;47843.7;
20.4;4.95931;594879;-0.147191;-0.147191;-0.147191;2.10769;187.993;46924;
20.5;4.95931;589103;-0.170217;-0.170217;-0.170217;2.49462;186.739;46243.1;
20.6;4.95931;583325;-0.068654;-0.068654;-0.068654;1.65131;183.762;45109.9;
20.7;4.95931;577365;0.035658;0.035658;0.035658;1.43057;181.598;44107.1;
20.8;4.95931;571484;-0.00921874;-0.00921874;-0.00921874;1.85578;180.363;43458.1;
20.9;4.95931;565878;0.110276;0.110276;0.110276;2.00789;178.833;42696.2;
21;5.76262;560402;0.161663;0.161663;0.161663;1.71793;176.716;41645.5;
21.1;5.76262;560088;0.0490188;0.0490188;0.0490188;2.00585;177.021;41516;
21.2;5.76262;559818;-0.0984874;-0.0984874;-0.0984874;1.58539;176.348;41329.2;
21.3;5.76262;559787;-0.167533;-0.167533;-0.167533;1.92744;176.817;41424.4;
21.4;5.76262;559917;-0.16644;-0.16644;-0.16644;1.41751;176.145;41182.1;
21.5;5.76262;560015;-0.191721;-0.191721;-0.191721;2.82034;178.139;41612.1;
21.6;5.76262;559869;-0.0190078;-0.0190078;-0.0190078;1.73803;176.578;41490;
21.7;5.76262;559557;0.115743;0.115743;0.115743;1.90196;176.71;41615.5;
21.8;5.76262;559332;0.116302;0.116302;0.116302;2.13421;176.965;41432.4;
21.9;5.76262;559263;0.00210515;0.00210515;0.00210515;1.68052;176.31;41261.4;
22;4.00548;559099;-0.0991818;-0.0991818;-0.0991818;2.05203;176.795;41338.6;
22.1;4.00548;549144;-0.0398417;-0.0398417;-0.0398417;1.86214;173.433;40184.5;
22.2;4.00548;539311;-0.00192517;-0.00192517;-0.00192517;0.945322;169.091;38424.5;
22.3;4.00548;529734;-0.0304569;-0.0304569;-0.0304569;1.61581;167.051;37286.8;
22.4;4.00548;520268;-0.0579474;-0.0579474;-0.0579474;2.37911;165.175;36252.6;
22.5;4.00548;510734;0.0776568;0.0776568;0.0776568;1.70079;161.259;34806.1;
22.6;4.00548;501218;0.0948238;0.0948238;0.0948238;1.62412;158.191;33503;
22.7;4.00548;491972;-0.00831068;-0.00831068;-0.00831068;2.37486;156.366;32461;
22.8;4.00548;482981;-0.0500275;-0.0500275;-0.0500275;1.45179;152.278;31124;
22.9;4.00548;455425;-0.0331209;-0.0331209;-0.0331209;0.662687;148.438;29643.2;
23;5.98726;435969;-0.138628;-0.138628;-0.138628;1.62597;147.212;28876.7;
23.1;5.98726;444192;-0.125367;-0.125367;-0.125367;0.446344;147.38;29056.5;
23.2;5.98726;460529;-0.17263;-0.17263;-0.17263;0.986876;149.883;29771.1;
23.3;5.98726;478263;-0.134719;-0.134719;-0.134719;1.15592;151.696;30593;
23.4;5.98726;486786;0.029359;0.029359;0.029359;1.07365;152.913;31174.2;
23.5;5.98726;490626;0.0990997;0.0990997;0.0990997;0.534253;153.352;31439.5;
23.6;5.98726;494531;-0.0275257;-0.0275257;-0.0275257;1.86226;156.425;32390.9;
23.7;5.98726;498438;0.0766947;0.0766947;0.0766947;0.440074;155.651;32422.8;
23.8;5.98726;502135;-0.0536989;-0.0536989;-0.0536989;1.4014;158.147;33183.6;
23.9;5.98726;505630;-0.0603804;-0.0603804;-0.0603804;0.835504;158.441;33730;
24;3.5282;508882;-0.0921055;-0.0921055;-0.0921055;1.47005;160.364;33981.2;
24.1;3.5282;497972;-0.191945;-0.191945;-0.191945;0.859831;156.117;32867.1;
24.2;3.5282;487149;-0.200989;-0.200989;-0.200989;1.97522;154.312;31628.4;
24.3;3.5282;467197;-0.10643;-0.10643;-0.10643;1.49246;150.257;30275.3;
